SHIPPING_ID,ORDER_ID,SHIPPING_NAME,DISPATCH_DATE,DELIVERY_DATE
V9116,TFH6260,Bauch Inc,1/6/2023,1/8/2023
C5315,CFT2493,Wuckert Group,6/17/2023,6/19/2023
W8418,GPD6712,"O'Kon, Thiel and Nikolaus",6/25/2023,6/26/2023
I8819,FEX3613,Stark Group,,
S0861,ABA8525,"Halvorson, Mann and Ruecker",,
S3231,AHT1916,"Bogisich, Jast and McDermott",,
T0307,SEU0083,Miller-Pouros,9/22/2023,9/27/2023
I0057,XJP0688,Champlin-Ullrich,11/26/2023,
A0167,LYX2686,Fay Inc,,
M2123,OSC6070,"Gerhold, Bahringer and Keeling",8/30/2023,
J3409,QQV1809,Christiansen-Runolfsdottir,4/22/2023,4/25/2023
H3504,KRE2527,"Ratke, Watsica and Murphy",,
V5780,HUO2985,Koepp-Bayer,,
Y9050,RGL8234,"Ernser, Reichel and Bartell",,
G5911,CEU8014,Zieme LLC,8/6/2023,8/10/2023
X8415,EJJ4983,Leuschke Group,4/1/2024,4/4/2024
O4204,FGQ3359,Champlin Inc,4/10/2023,4/15/2023
N6090,KQX7988,"Beahan, Beer and Hoppe",10/13/2023,10/14/2023
S3368,LMC5958,Botsford Group,,
U7567,JAJ7405,Ryan-Krajcik,,
O8991,NTR2106,Reynolds LLC,2/25/2024,2/26/2024
Z6702,VSF7553,Miller-Cartwright,,
E4798,DAA7186,"Walter, Hilll and Jacobi",,
Z8073,FCS9519,Kulas and Sons,12/10/2023,12/15/2023
L5857,ORT0772,Larkin LLC,,
X7010,TIA2871,"Nitzsche, Jacobi and Wilderman",,
K4097,AQN7580,Lockman-Lehner,4/27/2023,5/2/2023
V0715,YBU4540,Nitzsche LLC,12/31/2023,1/2/2024
J3734,UIU6752,Reynolds LLC,3/24/2023,
D7428,WQX2358,Hartmann and Sons,,
P2570,QZQ5315,Schaefer and Sons,4/15/2023,4/16/2023
L9400,AJC3923,Stoltenberg Group,,
M0172,DRY5074,"Waelchi, Gorczany and Kautzer",4/12/2023,4/13/2023
Q2972,KRH2193,Robel and Sons,,
D6417,GEX1044,"Kunde, Marquardt and Wyman",,
O4951,UVG5546,Hermann-DuBuque,12/3/2023,12/8/2023
P2396,LZM6725,"Lockman, Vandervort and Homenick",10/3/2023,
S5456,CMO9448,Monahan Group,,
E6884,KKW9693,"Walter, Mante and Gorczany",,
Y2371,SFN7652,O'Conner Inc,,
U2703,EVP5904,"Ryan, Dooley and Rice",,
A6210,IOX7638,Bailey and Sons,2/10/2023,2/13/2023
I8254,NCN5322,Olson-Kunze,,
I9018,XYM2261,"Kuphal, Stokes and Feest",12/31/2023,1/3/2024
U4850,MKT8516,"Bogan, Keebler and Kuhlman",10/17/2023,10/18/2023
Q0693,YAB4978,Gutmann-Pouros,,
A2852,MAV2372,Donnelly Inc,,
V8497,HRS2639,Ziemann-Gottlieb,,
Z1923,UEQ3343,Bartell-McClure,,
A8930,LJP0956,Hills LLC,,
S6410,LAS1111,Quigley and Sons,,
F0367,DCI4503,Hermiston LLC,10/9/2023,
S5224,EOF1756,Reynolds Group,6/27/2023,6/30/2023
B0686,JVN3662,Thiel LLC,,
X6738,SQA9850,Erdman LLC,,
J3908,AEW0962,"Kemmer, Prohaska and VonRueden",,
P4685,HHO6944,Leffler-Mertz,6/30/2023,7/1/2023
F9535,WMZ5480,Schmeler LLC,,
W6380,VUD5437,Marks-Raynor,,
O6508,QTG6856,Kling-Abernathy,,
O4817,IKZ5482,"Gleason, Tremblay and Mraz",5/6/2023,
K7305,VKH3115,"Carter, Veum and Wehner",5/11/2023,5/13/2023
M8104,BTS7583,Hoeger-Hane,12/11/2023,12/16/2023
I5237,ZUB4280,"Hills, Blick and Lehner",,
D4924,QDL4155,Koch LLC,2/18/2024,2/20/2024
Q9106,VUO0133,Turcotte Group,8/17/2023,
V0131,XBW4140,"Franecki, Cormier and Schuppe",,
U3127,MIX5575,Klocko-Bogan,4/4/2023,
A4812,KDS4446,Dare LLC,3/30/2023,
T8599,KSA7619,Shields LLC,11/19/2023,11/23/2023
U7642,DRZ8529,Kautzer-Conn,9/12/2023,9/14/2023
L6252,NPR9905,Lakin-Cremin,,
G7078,LSL0719,"Steuber, Gibson and Kovacek",,
I8922,HOA2407,Davis Inc,,
I0233,IBB0123,Considine-Leffler,,
A7003,UOK4272,"Renner, Friesen and Schumm",1/12/2023,1/14/2023
P7070,EMR2409,Hagenes-Nader,,
N2741,MQL7535,Kessler-Kuvalis,,
D7492,HPR7613,Jacobs-Flatley,,
J7712,IVN9642,Lang-Parisian,,
T6518,NTN9956,Barrows-Larkin,11/14/2023,11/18/2023
U3660,IGB1193,Ryan-Purdy,2/25/2024,2/27/2024
D5601,ZYB2801,Bahringer and Sons,,
C5834,VKD9165,Bergstrom Inc,1/30/2024,
X7934,UEC1556,Reynolds and Sons,8/11/2023,
M7293,FOW7102,"Greenholt, Becker and Hoppe",,
B3694,ULR9215,"Goodwin, Halvorson and Shanahan",3/20/2023,3/25/2023
O0877,LHK6651,Quigley Inc,12/1/2024,12/4/2024
I3137,CFY2234,"Rodriguez, Gusikowski and Bernhard",,
G2477,UQW2645,"Mitchell, Parisian and Gorczany",8/6/2023,
G0259,IKN2025,"O'Reilly, Nienow and Waelchi",,
E9982,VQZ0250,Koch-Kozey,4/17/2023,4/19/2023
A0411,VPX0060,Torp-Heaney,12/8/2023,
P3652,FHI7170,Grady-Walker,5/8/2023,5/10/2023
G8649,YUB3678,Harris-Hayes,,
P1409,WOM7126,Stanton-Kautzer,6/17/2023,
C8856,WVE3389,Buckridge-Orn,2/22/2024,2/23/2024
X1981,BHD8702,"Torphy, Nikolaus and Corkery",2/17/2024,
O8754,SWN4020,"Schimmel, Bernier and Johnston",,
F1624,CTF1895,"O'Conner, Kessler and Conroy",1/15/2024,
B0694,SEF4164,Daniel-Steuber,,
S3948,XXN0849,"Labadie, Hyatt and Hayes",,
I5827,RRZ9877,Mraz-Hudson,,
Y1038,GNE7138,"Reilly, Prosacco and Upton",2/25/2024,2/27/2024
N7008,ZNU6032,"Sanford, Ritchie and Wilderman",7/4/2023,7/5/2023
T3953,GTI1484,"Lesch, Rolfson and Cole",10/24/2023,10/27/2023
K4974,PGI5729,Hermann LLC,4/10/2023,4/12/2023
O9837,ISI5972,Hauck Group,11/2/2024,11/4/2024
G0592,OMD7949,Emard and Sons,4/12/2023,
P2872,SWQ9831,"Gottlieb, Bechtelar and Mann",,
G6704,MIM4732,Williamson and Sons,5/21/2023,5/22/2023
O1344,AZB8941,"Orn, Ebert and Collier",,
T4636,CES9055,Grant-Ryan,,
N1138,BBY4291,Kilback-Kovacek,9/5/2023,9/9/2023
O0792,ZQE0362,Connelly Inc,12/26/2023,
J0362,TIW7387,Bode Inc,,
K6998,MVV1140,Abshire Inc,,
M3578,HNX8430,"Cormier, Roberts and Bernier",10/14/2023,
T1437,DKO1313,Greenholt-Wintheiser,,
N6385,WJW8232,Thiel-Kuhlman,,
V0883,WRW4879,"Jaskolski, Kautzer and VonRueden",,
F0564,KHC5606,"Von, Herzog and Ward",5/12/2023,
I6376,IIZ6819,"Corwin, Carroll and Barrows",4/22/2023,
C0086,YME9369,"King, Macejkovic and Abernathy",,
F5582,JXA1952,"O'Hara, Fisher and Schoen",1/1/2024,1/6/2024
V6369,BDF5840,Rodriguez LLC,12/29/2023,
Y8099,MBO6568,"Howell, Hudson and Hodkiewicz",12/31/2023,1/5/2024
H4577,XTH1311,Kiehn-Windler,6/2/2024,6/4/2024
D5630,QQZ4796,Macejkovic-Cummings,,
Q5073,JGA9138,"Huels, Dare and Herman",,
G5177,KKW3832,"Lesch, Ferry and Denesik",,
A5027,MKV9425,Abbott Inc,,
R8741,EBP3277,Fahey-Wintheiser,,
F7669,XUQ4920,"Howe, Batz and Kunde",1/31/2024,2/3/2024
L6422,NUR2046,"Kovacek, Olson and Schumm",9/20/2023,9/22/2023
N6382,QYV1464,Dibbert LLC,,
V6573,HVT7202,Blick Group,,
O9406,BDU8549,Abbott Group,,
R2071,MNL5943,Murray-Emard,,
Y4835,FNA9168,"Gorczany, Mitchell and Grimes",,
Q5530,FFA7349,Carroll Group,,
V1957,RKB7058,Gorczany-Krajcik,,
U7802,KSG9219,Schmidt-Hane,7/9/2023,7/11/2023
A0025,NLA8389,Mraz-Zboncak,7/18/2023,
O4946,GNC0765,"Hodkiewicz, Roob and Jast",7/6/2023,7/11/2023
D2157,CMK5687,Jacobson and Sons,2/18/2024,2/22/2024
E1824,QYS9503,Daugherty LLC,1/26/2024,1/29/2024
N6012,XDA3057,Hartmann-Berge,,
X2526,IFZ2726,Greenholt Group,,
F1676,EPD6911,Zulauf LLC,,
D1482,RCT2441,Russel-Hermann,,
M2068,UVD6956,"Herzog, Powlowski and Goodwin",,
R1137,BDZ0133,Kessler Group,5/21/2023,
W7767,MVT0306,Monahan-Sipes,,
C9859,BTC1122,Fritsch LLC,1/18/2024,1/22/2024
P9709,HXK7327,Balistreri and Sons,,
B8699,VSC0019,Jacobson Inc,12/18/2023,12/23/2023
E9804,QEV5179,"Deckow, Wehner and Greenfelder",,
R7740,KMY0303,Jenkins LLC,10/31/2023,11/4/2023
J8882,LWC9829,"Wisoky, Boyer and Klein",10/9/2023,
M3199,JEJ3541,Jones-Walter,,
X7922,CYU6388,Kovacek-Balistreri,,
D0125,MPE4346,Quitzon Inc,4/4/2023,4/7/2023
S6725,JHL5700,"Carter, Lemke and Lemke",,
I7839,RBM0492,O'Conner Group,7/16/2023,7/19/2023
F2149,MRE7519,Kunze Inc,2/21/2024,2/25/2024
B6008,XSE2219,Mante LLC,6/1/2024,6/2/2024
Q9957,MUI9539,"Ullrich, Bernhard and Gutmann",,
C4776,AXE9694,Metz-Nienow,9/22/2023,9/24/2023
U9907,RWC7506,Williamson LLC,1/1/2024,
H0550,DDC8488,"Daugherty, Mills and Aufderhar",,
E3245,JPY1439,"Mills, Hodkiewicz and Williamson",,
F0849,HJQ6314,Kozey Inc,3/29/2023,
P8940,EDW3545,O'Reilly and Sons,2/20/2024,2/25/2024
H6760,PJW0140,"Kuphal, Parker and Hagenes",10/13/2023,
F7636,UXP7118,"Haag, Kuhlman and Jerde",4/14/2023,
V8318,JEG9949,"Gleichner, Pouros and Lowe",,
Z7120,XNO9212,Abshire-Hodkiewicz,7/16/2023,7/18/2023
Z3628,MPR7840,Gibson-Rice,11/8/2023,11/11/2023
P6821,DMF9800,"Bartell, Crooks and Nader",,
F9244,JRY5351,Treutel-Block,9/4/2023,9/5/2023
E5656,XDL9456,"Konopelski, Zulauf and Block",1/2/2024,1/5/2024
K8755,KGJ4513,McClure Inc,,
H5761,XKJ1369,Windler-Bergnaum,6/28/2023,6/29/2023
M1559,JQG8131,Kulas LLC,,
P3598,TFY2359,"Boehm, Reynolds and Keeling",7/7/2023,7/10/2023
L4918,FGT8125,Toy LLC,4/27/2023,5/1/2023
M8354,GKL1251,Wiegand-Bode,,
H7565,RCF0749,Ondricka-Weimann,1/24/2024,1/26/2024
F5245,SJP2377,Jaskolski-Metz,,
D7289,BUI9588,Dare-Cronin,4/29/2023,5/2/2023
A9134,HSR6210,Block Inc,,
C4789,PZP4927,Gottlieb LLC,,
A7299,JRD0793,Reilly LLC,1/4/2023,1/6/2023
G5293,TQY4860,Stehr Group,,
K7586,RRU5337,Pfannerstill-Fritsch,,
H6621,FAC7306,Mohr Inc,,
F3006,XZF3198,Tillman and Sons,,
O6913,TSI8158,O'Connell Group,,
O8012,DIB6374,"O'Hara, McCullough and Crooks",,
O9051,NHD3353,Mueller-Tromp,,
X3056,ASL1593,Predovic LLC,8/23/2023,8/25/2023
F5216,LLZ4868,Kuhlman LLC,,
T2153,ZSZ6455,"Nienow, Connelly and Kuhlman",9/12/2023,9/13/2023
F8961,EGN8069,"O'Keefe, Funk and Ebert",7/5/2023,7/7/2023
Y8635,SYB8387,"Raynor, Schuster and Bechtelar",,
V7142,CDG9535,Kovacek Group,,
N0240,KPF0434,"Stiedemann, Greenfelder and Stroman",,
C2092,KZT2152,"Abshire, Predovic and Zboncak",,
Q9778,MRA7030,Dooley LLC,,
U8839,LMT1665,Kunze LLC,12/17/2023,12/22/2023
F9025,ARJ0528,Bartoletti-Erdman,,
K3866,TNB2280,Batz Group,,
N4731,JGP3233,Bins LLC,5/2/2024,5/7/2024
Y3928,ESV1440,Kozey and Sons,2/26/2024,
H8725,BNQ2840,"Ernser, Haag and Hoppe",,
T3365,BED1114,Okuneva Inc,,
B7842,LSS8331,O'Kon-Russel,8/15/2023,8/17/2023
P3786,PRM6224,Corwin LLC,4/5/2023,
S0735,FYF5990,Gerhold-Prohaska,,
M9968,PKT4301,Ebert-Heathcote,,
U2705,PBK6781,Beer Group,,
H1642,EIV3681,Torphy and Sons,,
B5981,IIB8172,Jakubowski LLC,1/7/2023,
T1245,JJO3910,Macejkovic-Treutel,,
M6823,UHJ5080,Towne LLC,,
U2227,CTL0469,"Berge, Hills and Okuneva",,
M9154,SGM5279,Batz-Powlowski,,
C8291,ARV6160,Parisian and Sons,,
R6920,VFK7242,Turner-Wuckert,4/29/2023,
A2932,CPV8380,Bartoletti-Kilback,,
H7813,UKQ7763,Barton Inc,,
V0252,HYZ4440,Von Group,,
M1171,WZO0497,Stiedemann-Haag,,
N7361,UFG3566,Marquardt-Wuckert,,
W8703,NWI5662,Nikolaus and Sons,,
F8247,PSJ0852,McLaughlin-Baumbach,4/28/2023,5/2/2023
M1252,RNY7067,Ledner and Sons,,
S9662,VJC9478,Rippin LLC,,
I6157,QJZ5801,"Lind, Willms and Bartoletti",2/15/2024,2/18/2024
K6883,VFC2745,Huels-Fadel,1/6/2023,1/9/2023
K1628,JHH7595,Mertz Inc,,
R7389,ZLG9351,"Pouros, Bednar and Green",,
B1960,YHG5202,"Fahey, Nikolaus and Little",11/16/2023,
W1382,CNS5264,Stanton Inc,,
L4347,EGZ9638,"Abshire, Kautzer and Hermiston",8/12/2023,8/14/2023
J7941,FOF3637,Parisian-Emard,9/5/2023,
Q2797,HRE9023,West Inc,4/11/2023,4/15/2023
F0368,WPL8416,Walter Group,,
W7668,KQW0988,Batz Group,,
D2096,LCV3835,"Shields, Dicki and Gerhold",,
F6603,CJM3785,"Schmidt, McClure and Conroy",,
P4570,ZZE2322,Hagenes-Shields,,
M6537,PEL2362,"Hodkiewicz, Swaniawski and Swift",,
R3073,GUC5552,"Luettgen, Paucek and Cronin",,
P9824,WWA5988,"Walsh, Kuhn and Fisher",,
L5975,RLR6554,"Funk, Bergstrom and Weimann",,
S2608,WPJ2921,Hodkiewicz-Ledner,,
R6651,XUP5209,Considine-Gleichner,,
Q0358,MUJ5817,Wolf-Nitzsche,9/12/2023,9/17/2023
P2901,NQM7682,Willms-Brakus,9/23/2023,
K7115,FIR7498,Dickinson LLC,11/27/2023,12/1/2023
K0278,VHK9863,"Hammes, Collier and Aufderhar",,
L1132,PSG1919,Prosacco-Franecki,8/30/2023,
P4569,JJB6659,"Johnston, McDermott and McDermott",,
I2156,RDF1200,Zemlak-Cummerata,,
Z8874,KNP0094,"Witting, Mueller and Fadel",,
T1911,CFT0164,Metz-Carter,,
M3382,EYO0043,"Schmidt, Dicki and Rogahn",11/11/2023,11/12/2023
P6620,BAW8819,Mante-Stroman,7/14/2023,
N0497,JYF5993,Rolfson-Hintz,,
G8345,SKH8998,Koch-Murphy,7/16/2023,7/18/2023
T2814,VRC5692,"Prosacco, Hegmann and Kunze",6/22/2023,6/24/2023
F7907,EGL7871,Haag-Von,,
X7851,XFT5535,"Nikolaus, Thompson and Kling",,
V6504,OOP3085,"Mraz, Reichert and Koss",3/12/2023,
B1505,DBO0771,McLaughlin LLC,9/28/2023,10/2/2023
N6601,MNJ3362,Kulas Group,5/5/2023,
C7948,XCJ4486,Kessler-Schneider,9/30/2023,
A5854,QUU3932,Hodkiewicz LLC,,
R8075,FUE2612,"Collier, Vandervort and Hahn",10/14/2023,
Y0223,HVU1936,Braun Group,,
H7977,LIH3544,Bednar-Sauer,,
N2381,WXZ1813,"Waters, Kovacek and Smith",12/2/2024,
C6045,BXC3587,Halvorson-Raynor,,
Q6352,UPE4621,"Lakin, Hoppe and Auer",4/29/2023,5/2/2023
G0706,WYS1793,"Hamill, Tromp and Spencer",6/25/2023,6/26/2023
B8832,PQU7049,"Goodwin, Schultz and Schuppe",10/31/2023,11/3/2023
V6255,QSS6189,"Rolfson, Schamberger and Mann",,
Q6366,EHP3955,"Lynch, Davis and Cormier",,
F4117,UKI1396,"Swaniawski, Lockman and Miller",6/13/2023,
Y8753,ONJ6209,Daniel-Tremblay,,
Q5788,OPX7399,Jacobi-O'Connell,,
S1149,KWY1741,"Larkin, McClure and Huels",,
X4478,QCW1048,Ryan Group,,
Q7863,LCO9306,"Mraz, Crooks and Hermiston",,
J6173,XTB8470,Tromp-Ferry,,
W4437,EUW7905,"Vandervort, Moen and Glover",2/22/2024,
P0874,HJJ1575,"Stehr, Collins and Schamberger",,
Z6795,OLA0713,"Koelpin, Emard and Hickle",,
T1869,DCA2051,Hayes Inc,9/1/2024,9/2/2024
A5972,WKW9727,Stiedemann-Ward,,
W5535,ISF8033,Farrell LLC,2/27/2024,
I6080,QLE5974,Bednar-Osinski,,
Z7628,HUE0610,Borer LLC,5/8/2023,5/10/2023
N5368,DYK1267,West Group,,
F6080,SKN1754,Wisozk Group,6/7/2023,
V8195,EBK3783,Willms LLC,,
B4722,VTV6658,Gleason Group,9/20/2023,
W0633,TZV1686,"Heidenreich, Runolfsson and Barrows",,
H5565,VUZ4467,Daugherty-Runolfsson,2/18/2024,2/22/2024
N6336,XWA2339,"Pagac, Crooks and Grant",,
K1486,SUZ4509,Collier-Ferry,12/24/2023,12/27/2023
D8364,JXS4855,Wilkinson-Hickle,7/15/2023,7/20/2023
M1143,XAR9325,Marks LLC,,
T8313,FZT7005,Emmerich LLC,,
X1812,MXB2745,Schroeder-Keeling,,
X5952,WOP7202,Koelpin Inc,12/10/2023,12/12/2023
O2240,GAC3226,Pouros-Abshire,,
J2130,SBN1915,Jacobs-Crist,,
U8530,RYJ2194,Hane Inc,3/1/2024,
E5157,LBE2461,"Kuvalis, Anderson and Watsica",,
B7213,QIR9265,Emard-Hammes,6/2/2024,
A6830,SJD0759,Altenwerth LLC,,
Q5175,WFP7882,Wolf Inc,6/13/2023,6/16/2023
N9463,CGU4126,Marks-Block,,
U0691,ENH9556,"Rolfson, Wyman and Upton",3/14/2023,3/15/2023
X2814,SCP8757,"Bogisich, Hane and Kuphal",,
B5891,XBI2772,"Corwin, Torphy and Metz",4/15/2023,4/16/2023
F8180,HOV7846,"Mayert, Smitham and Nikolaus",10/6/2023,10/10/2023
R4038,HYU6646,Braun-Grady,,
X7576,GAK5107,Hermiston Inc,4/18/2023,
L9348,QUM5551,White-Reinger,,
B4360,WAH7547,"Mayer, Gulgowski and Hermann",,
N9777,JWW5234,"Dickens, Grimes and Luettgen",,
A6278,PLF8732,Rippin Group,12/28/2023,1/2/2024
S2155,XKJ1205,Lemke LLC,11/2/2024,
Z7854,SSY7108,"Balistreri, Cummings and Mann",7/16/2023,7/18/2023
A1295,DID0868,Baumbach-Emard,,
P3134,EYR1650,Reynolds-Kozey,,
